Titulo,Nome do Produto,URL
unhas,"de-10-a-19,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-10-a-19,99?map=c,priceFrom"
unhas,"de-20-a-49,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-20-a-49,99?map=c,priceFrom"
unhas,"de-50-a-99,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-50-a-99,99?map=c,priceFrom"
unhas,"de-100-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-100-a-5000?map=c,priceFrom"
nail-enamel-revlon-esmalte,p,http://www.epocacosmeticos.com.br/nail-enamel-revlon-esmalte/p
marcas,marcas,http://www.epocacosmeticos.com.br/marcas
coach,coach,http://www.epocacosmeticos.com.br/coach
unhas,dior-vernis,http://www.epocacosmeticos.com.br/unhas/dior-vernis
unhas,mavala,http://www.epocacosmeticos.com.br/unhas/mavala
unhas,revlon,http://www.epocacosmeticos.com.br/unhas/revlon
unhas,sally-hansen,http://www.epocacosmeticos.com.br/unhas/sally-hansen
unhas,bourjois,http://www.epocacosmeticos.com.br/unhas/bourjois
unhas,dior,http://www.epocacosmeticos.com.br/unhas/dior
unhas,first-kiss,http://www.epocacosmeticos.com.br/unhas/first-kiss
unhas,maybelline,http://www.epocacosmeticos.com.br/unhas/maybelline
unhas,givenchy,http://www.epocacosmeticos.com.br/unhas/givenchy
unhas,bisou,http://www.epocacosmeticos.com.br/unhas/bisou
unhas,artdeco,http://www.epocacosmeticos.com.br/unhas/artdeco
unhas,impress,http://www.epocacosmeticos.com.br/unhas/impress
unhas,taiff,http://www.epocacosmeticos.com.br/unhas/taiff
unhas,tweezerman,http://www.epocacosmeticos.com.br/unhas/tweezerman
departamento,unhas,http://www.epocacosmeticos.com.br/departamento/unhas/1000013
unhas,esmalte,http://www.epocacosmeticos.com.br/unhas/esmalte
unhas,base-para-unhas,http://www.epocacosmeticos.com.br/unhas/base-para-unhas
unhas,cobertura-extrabrilho,http://www.epocacosmeticos.com.br/unhas/cobertura-extrabrilho
unhas,removedor-de-esmaltes,http://www.epocacosmeticos.com.br/unhas/removedor-de-esmaltes
unhas,oleo-secante,http://www.epocacosmeticos.com.br/unhas/oleo-secante
unhas,lixa,http://www.epocacosmeticos.com.br/unhas/lixa
unhas,tratamentos-para-unhas,http://www.epocacosmeticos.com.br/unhas/tratamentos-para-unhas
unhas,unhas-posticas-e-adesivos,http://www.epocacosmeticos.com.br/unhas/unhas-posticas-e-adesivos
unhas,manicure-e-pedicure,http://www.epocacosmeticos.com.br/unhas/manicure-e-pedicure
unhas,acabamento-e-fixacao,http://www.epocacosmeticos.com.br/unhas/acabamento-e-fixacao
unhas,colorama,http://www.epocacosmeticos.com.br/unhas/colorama
unhas,impala,http://www.epocacosmeticos.com.br/unhas/impala
unhas,inoar,http://www.epocacosmeticos.com.br/unhas/inoar
unhas,kiss-ny,http://www.epocacosmeticos.com.br/unhas/kiss-ny
unhas,ligia-kogos,http://www.epocacosmeticos.com.br/unhas/ligia-kogos
unhas,mirra-s,http://www.epocacosmeticos.com.br/unhas/mirra-s
unhas,mundial,http://www.epocacosmeticos.com.br/unhas/mundial
unhas,o-p-i,http://www.epocacosmeticos.com.br/unhas/o-p-i
unhas,oceane,http://www.epocacosmeticos.com.br/unhas/oceane
unhas,purederm,http://www.epocacosmeticos.com.br/unhas/purederm
unhas,ricca,http://www.epocacosmeticos.com.br/unhas/ricca
unhas,vult,http://www.epocacosmeticos.com.br/unhas/vult
unhas,yves-saint-laurent,http://www.epocacosmeticos.com.br/unhas/yves-saint-laurent
unhas,"de-9,9-a-19,99?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-9,9-a-19,99?map=c,priceFrom"
unhas,"de-99,99-a-5000?map=c,priceFrom","http://www.epocacosmeticos.com.br/unhas/de-99,99-a-5000?map=c,priceFrom"
revlon,revlon,http://www.epocacosmeticos.com.br/revlon
gio-antonelli-achados-da-gio-colorama-esmalte,p,http://www.epocacosmeticos.com.br/gio-antonelli-achados-da-gio-colorama-esmalte/p
colorama,colorama,http://www.epocacosmeticos.com.br/colorama
esmalte-cremoso-vult-esmalte,p,http://www.epocacosmeticos.com.br/esmalte-cremoso-vult-esmalte/p
